model_name,accuracy,precision,recall,f1_score
Decision Tree,0.7424460431654676,0.7469326871843863,0.7424460431654676,0.7439141841763395
Random Forest,0.8797533401849948,0.8816184477608784,0.8797533401849948,0.8802543923647373
KNN,0.8205549845837615,0.8237041748626387,0.8205549845837615,0.8214707272513082
SVM,0.9017471736896198,0.9024518071228007,0.9017471736896198,0.9020048944045509
Random Forest (Tuned),0.8869475847893115,0.8881016576007472,0.8869475847893115,0.8872752438202075
SVM (Tuned),0.9114080164439876,0.9117285906300283,0.9114080164439876,0.9114620192556454
Weighted Ensemble,0.9210688591983556,0.9214471996069005,0.9210688591983556,0.9212136006131829
